dbn,school_name,primary_address_line_1,city,postcode,latitude,longitude,gradespan,subway,pct_stu_safe,graduation_rate,attendance_rate,college_career_rate
28Q167,Metropolitan Expeditionary Learning School,91-30 Metropolitan Avenue,Forest Hills,11375,40.711367,-73.856698,6 to 12,N/A,0.86000001,0.94999999,0.94,0.82999998
28Q284,York Early College Academy,108-35 167th Street,Jamaica,11433,40.69719,-73.787192,6 to 12,N/A,0.88999999,0.97000003,0.93000001,0.94
28Q310,Queens Collegiate: A College Board School,167-01 Gothic Drive,Jamaica,11432,40.713218,-73.797237,6 to 12,F to 169th St,0.75999999,0.81999999,0.86000001,0.72000003
28Q325,Hillside Arts & Letters Academy,167-01 Gothic Drive,Jamaica,11432,40.713218,-73.797237,9 to 12,F to 169th St,0.92000002,0.91000003,0.87,0.63999999
28Q328,High School for Community Leadership,167-01 Gothic Drive,Jamaica,11432,40.713218,-73.797237,9 to 12,F to 169th St,0.82999998,0.94,0.83999997,0.69
28Q350,Jamaica Gateway to the Sciences,167-01 Gothic Drive,Jamaica,11432,40.713218,-73.797237,9 to 12,F to 169th St,0.87,0.91000003,0.89999998,0.75
28Q440,Forest Hills High School,67-01 110th Street,Forest Hills,11375,40.729402,-73.845637,9 to 12,N/A,0.60000002,0.87,0.88,0.75999999
28Q505,Hillcrest High School,160-05 Highland Avenue,Jamaica,11432,40.709446,-73.80166,9 to 12,F to Parsons Blvd,0.79000002,0.77999997,0.87,0.56999999
28Q620,Thomas A. Edison Career and Technical Education High School,165-65 84th Avenue,Jamaica,11432,40.715389,-73.800369,9 to 12,N/A,0.87,0.92000002,0.94,0.77999997
28Q680,Queens Gateway to Health Sciences Secondary School,160-20 Goethals Avenue,Jamaica,11432,40.718831,-73.806499,6 to 12,N/A,0.75999999,0.95999998,0.93000001,0.88999999
28Q686,Queens Metropolitan High School,91-30 Metropolitan Avenue,Forest Hills,11375,40.711367,-73.856698,9 to 12,N/A,0.93000001,0.91000003,0.92000002,0.76999998
28Q687,Queens High School for the Sciences at York College,94-50 159th Street,Jamaica,11433,40.701049,-73.798151,9 to 12,"E, J, Z to Jamaica Center-Parsons/Archer",0.92000002,1,0.97000003,0.92000002
28Q690,High School for Law Enforcement and Public Safety,116-25 Guy R Brewer Boulevard,Jamaica,11434,40.686208,-73.784144,9 to 12,N/A,0.79000002,0.81,0.87,0.66000003
28Q896,"Young Women's Leadership School, Queens (TYWLS)",150-91 87th Road,Jamaica,11432,40.707527,-73.806412,6 to 12,"E, J, Z to Jamaica Center-Parsons/Archer; F to Parsons Blvd",0.87,0.99000001,0.92000002,0.81999999
